"Date","Rev"
"on February 1, 2016","Listening to E-40 Wasted!!!"
"on August 10, 2017","I like it"
"on July 15, 2016","I only listen o a particular genre and had no problem finding said music."
"on June 6, 2016","I love this app. By far the best for music. I just wish I learned about it sooner."
"on December 6, 2016","I use Spotify all the time, and love it."
"on May 10, 2016","It always has all of the new music and all that old music exactly what I need 😉😇😀 💜"
"on February 27, 2016","Amazing selection. Only problem is songs drops out for a second or so while playing during offline mode."
"on September 15, 2014","The ability to create your own playlists along with the ease of use makes this a great way to enjoy music on your devices and if you do pay for the premium you can use your playlists offline and save on your band with"
"on December 14, 2015","It meets all the requirements. User friendly, diverse, convenient and usable on all my devices. Better than similar apps."
"on May 31, 2016","This app is the best free music app and I would recommend it to everyone that asked"
"on December 9, 2016","Great choice very diverse quality sound"
"on February 13, 2016","This app in my opinion is the best music player in the app store! My favorite feature is the repeat button."
"on February 13, 2016","It is great with keeping up with the latest music. Sometimes it freezes up but other than that it is great."
"on July 31, 2016","Have this app on phone. Downloaded to kindle. Great app works great"
"on June 2, 2015","...the other times, it ends up randomly shutting down on me or refusing to open.Maybe it is my OS (I'm runnin it off of my BlackBerry Classic) but this needs a fix."
"on October 25, 2016","Buy it people💸💸💸💸💸💸💸💸😊😀😁😂😃😄😅😆😇😉"
"on September 3, 2016","Great app. The $10/month for premium is the best $10 I spend!"
"on September 10, 2015","I LOVE spotify but the new update sucks. U should be able to click on the song u want to listen to rather than have to wait for it to come on."
"on March 27, 2015","I love this app. Ads and all. The absolute best way to search for music. I play guitar at church, let's me play the song over and over while doing practice. I like the mixes too."
"on October 20, 2015","I give this app10 stars. I love everything about it. Is is.very user friendly and every song I have searched for is very easy to find"
"on July 16, 2016","I love listening to music and this is perfect for me I really love it!!!"
"on April 3, 2017","Awesome app! Too dope!"
"on August 5, 2017","Is great entertainment"
"on June 14, 2017","I just really love it."
"on May 3, 2017","Love it good selection"
"on July 3, 2017","I love it , so good!!!"
"on April 3, 2017","Helps me focus on work"
"on July 3, 2016","I have tried other music streaming apps and this one is by far my favorite."
"on January 11, 2017","Always pauses or kicks me out of app"
"on December 22, 2016","It's very versatile and easy to use."
"on August 2, 2017","Puts most other music apps to shame."
"on July 26, 2017","Why go anyplace,any day but Spotify?"
"on August 10, 2017","Love it just need to keep it updated"
"on January 21, 2017","Cool app, music awsome, works great."
"on February 19, 2017","My favorite music streaming service."
"on February 4, 2017","I love this app. Definitely 5 stars."
"on December 24, 2016","Best music from my favorite artists!"
"on January 9, 2017","Music ie really good and mostly free"
"on June 7, 2016","it works when I connect to it,and there seems to be plenty of listening seletions"
"on October 27, 2017","Love it!"
"on August 23, 2017","The best"
"on September 4, 2017","all good"
"on November 7, 2016","It's amazing! :D Definitely recommend it!"
"on March 3, 2015","I used to pay google music, 9.99€ a month, but this is almost as good and it is free!! So, I recommend this so rather than pay for a subscription!! You will not be disappointed,"
"on February 15, 2016","There's no ads, you can listen to it without WiFi, I absolutely love it!! I would highly recommend it"
"on August 11, 2016","I like being able to listen to new music from my favorite artists."
"on February 4, 2016","This is such an easy app. I can change my music as my mood changes. I wish someone would have told me about it sooner"
"on October 28, 2015","Spotify puts the whole of American music at your fingertips. Whether you're in the car or at work, you music is never out of reach."
"on August 19, 2016","I love it so much!! I would highly recommended getting this app!"
"on February 7, 2015","It's nice to be able to get pretty much all the music my parents brought me up on and the bands that were big when I was growing up. A lot of my childhood music is hard to find elsewhere"
"on January 23, 2016","I love it I just do not like the commercials it's irritating but ..it's still wonderful better than sound cloud"
"on February 24, 2015","I have been using Spotify for six years as my go to listening app. Spotify has all of the music you have in your collections and new music that is currently on the radio. I have not had any major issues or complaints about Spotify. Even though I use the Free version, I still haven't reached the point that the interruptions from the commercials are that big of a deal that I need to change add the upgrade. I get to pick all the music I want to listen to and let Spotify do the rest. Sometimes when I switch between different WIFI devices I may have to restart my computer to operate Spotify. It is a small price to pay for unlimited music that I can taylor to my every mood."
"on September 16, 2015","I love listening to music through this app, I enjoy making my own playlists and I would love to get more song recommendations from this app."
"on July 18, 2016","Great app love it I have it on multiple devices and I use it every day."
"on February 11, 2015","I enjoy the app a lot. Smooth, good quality, great library, never pauses or stutters on the kindle. On my phone however it likes to crash on me, so I'm going four stars instead of five."
"on July 3, 2016","Great and keeps getting better, but as always, expand the catalog"
"on January 13, 2016","I my gosh,this is the perfect app for music!! I love that you van make your own playlist!! 5star hands down😃😃😃"
"on April 8, 2016","This is the best app I have ever installed! I can listen to all my favorite music! AMAZING!!!!"
"on July 26, 2016","Hearing so many different artist I've never heard before ...love it!!"
"on June 30, 2016","Music and music videos! Listen to it almost every day! Dance to it's songs!"
"on June 11, 2015","I love this app not just because I am a music lover but because before I had this app every other music app that I got never work at all and this app is the best"
"on March 14, 2016","I love using Spotify. Their library keeps getting better, and they have great suggested listening."
"on October 24, 2016","First let me say that I bought the family subscription to Spotify and I think that the services are different than the free version. But that said I just love it. Most of the music I currently enjoy and hundreds of songs I loved as a much younger person are available to add to playlists and enjoy. I can get my subscription from any internet enabled device - not just my overpriced smartphone. A wonderful alternative for those who are sick of the near monopoly imposed upon society by the fruit company!"
"on May 8, 2016","search bar where you can search & it'll actually play ""that"" song for you"
"on March 5, 2016","You can listen to all your favorite songs unlike Pandora you have to wait for all your favorite songs"
"on October 12, 2016","I love it! It has all of my favorite songs.😀🎵🎶🎼"
"on June 21, 2016","I downloaded this for work so I could listen to my favorite tunes. I love it."
"on August 3, 2016","The app is a great way to enjoy your fav songs. It is awesome!!!!!!"
"on October 15, 2015","I love it and it's very useful for me,100 thumps up and I get all of my favorite artists and songs along with it.Totally awesome"
"on June 18, 2014","This is a great app for lovers of all genres of music.The app is really straight forward and very easy to manage. You can choose your favorite songs from what seems like thousands of choices. Once you add your selected songs to ""your Music"" list, you can prepare playlists. I love the Shuffle feature as I listen to my playlists."
"on June 15, 2017","Great music I love it"
"on October 2, 2017","Great app...i love it"
"on August 1, 2017","My favorite music app"
"on May 13, 2017","The best that I know."
"on March 12, 2017","Everything is goooddd"
"on May 24, 2017","Wow Awesome dude"
"on January 14, 2017","Works great with my Echo's and Tap."
"on October 2, 2017","This app is a must on your phone (:"
"on February 4, 2017","Love the music there. Great sounds."
"on February 18, 2017","This app is pretty cool. I love it!"
"on February 1, 2017","I love this app! You should get it!"
"on February 22, 2017","Easy to navigate. Amazing selection"
"on July 15, 2017","Just a lot of adds but it's awesome"
"on January 19, 2017","Great app love the music they offer"
"on June 16, 2016","It is so easy to stream all my music and send to bluetooth speakers. Very cool"
"on December 8, 2014","This app contains allthe music you want and has genres to listen to. The only thing i dont like about it is that you can only listen to it with wifi. Other then that, there is nothing bad about this"
"on July 4, 2015","This is a great and nice app because it let you listen to whatever you want to listen the only thing that is bad is that you cannot go to the previous song."
"on November 28, 2014","This app is very useful if you like to listen to music ð·ð¹ð¶ððµð¶ð»ð¹ð·ðºð¸"
"on August 23, 2017","Love it"
"on September 8, 2017","Love!!!"
"on May 31, 2017","Love it"
"on May 29, 2017","Awesome"
"on October 24, 2016","A great app to all I love this app blah has"
"on November 11, 2016","A never ending sea of music choice. Great UI"
"on January 10, 2015","So much better than buying all the songs on iTunes and since I don't download then, it takes up less space on my device while still having so many songs to listen to and choose from. Love it!"
"on December 10, 2016","Easy to navigate and great selection."
"on July 28, 2016","Great except for the advertisements. Comprehensive catalog of music."
"on November 1, 2016","This is a great app! I totally recommend this!"
"on May 6, 2016","This is a great app. I really enjoy classical music and I am thrilled with the variety."
"on January 7, 2017","Easily found who I wanted to listen to"
"on January 23, 2016","Way better than Apple Music. Better DJing and playlists, wonderful sound quality, affordable subscription fee."
"on March 29, 2016","I've been listening to Spotify for several years on my pc. Just put it in my tablet. I love it."
"on January 10, 2016","This app is amazing. I don't regret for a minute downloading it. No problems caused. For all ages. Love it!!! :D"
"on September 29, 2014","I love playing the music of my youth (50-70's). All free if you don't mind the commercials. There is also a subscribed version which eliminates commercials and allows you to download music free. Highly Recommend."
"on September 17, 2015","I have been using spotify for a few years and it has never let me down. I can find most songs I want and I'm always updated about new songs"
"on August 27, 2016","I love Spotify but the commercials get a little annoying"
"on August 21, 2014","I just found this app I've spent hours looking for some going from one site to another and not being able to find what I want but just fine minus and I've got all the songs I was looking for this app rocks thanks spotify"
"on September 22, 2016","Amazing and I recommend it to anyone!!😀😀"
"on April 18, 2016","I can't go back to Pandora after trying this app. I have a kindle fire, and it works great."
"on May 1, 2016","I love Spotify! I love that I can play songs by artist or listen to someone's playlist."
"on July 10, 2016","Great for exploring music. Large database. With a variety of song mixes."
"on February 4, 2016","I absolutely love country music! Can't get enough of it. So having my own choice of music is perfect for me"
"on January 9, 2016","This site is wonderful. People are great. Music is great. This place is a good place to relax and listen to music"
"on September 22, 2016","So far I have no comments. Everything is going well!!!"
"on June 22, 2016","I love that it has minimal ads, it's easy to use, and just awesome. LOVE IT."
"on January 26, 2016","Oh my gosh love it. I can not live without this app. If you don't have it you need it. You won't be let down."
"on November 3, 2015","It's a really good music station but try less on the ads and question if I get premium do I have to pay please respond back soon"
"on December 17, 2015","Best way to find bands and best music app ever created. Spotify will always be my number one place to listen to music."
"on July 26, 2016","It was okay for the first three months, then you have to pay for it."
"on October 26, 2016","Perfect to create personal space in an open plan office"
"on October 2, 2014","I downloaded spotlight in recommendation of a friend...due to my complaining of Pandora (their ideas of music I &#34;might like&#34; are waaaay off! Absolutely love that I can listen to what I want to!!!"
"on April 25, 2016","So far we like it just started using it. I love that you create a Playlist then shuffle."
"on March 18, 2016","Spotify is great. I had Pandora but switched because spotify is an upgrade, even without premium!"
"on October 16, 2016","Love the easy & making up my playlist Love it!!!!"
"on June 7, 2016","I love Spotify but wish they would let you kjnow wherwhern they are billing you"
"on August 20, 2016","No other program has more music and complete artist selection."
"on March 22, 2017","Best music app ever."
"on June 4, 2017","Works but needs WiFi"
"on June 13, 2017","It's good. All good."
"on February 3, 2017","This is the best 😹😹😹😹😹😹"
"on February 8, 2017","I don't have anything else to say."
"on August 22, 2017","Excellent for my music collection."
"on October 28, 2017","A good option for streaming music."
"on February 8, 2017","it's ok, i use it once in a while."
"on January 14, 2017","Such a great app! Absolutely love!"
"on January 31, 2017","Plays music and gets its job done."
"on January 16, 2017","Purchased to use with Amazon Echo."
"on November 21, 2016","Awesome for when I'm playing then I can listen to it so I don't have to talk.  Awesome :)"
"on April 7, 2017","great!"
"on August 28, 2017","Great!"
"on December 11, 2016","What's not to like about free radio?"
"on September 18, 2015","Outstanding music app. I like being able to control the app on my PC (with the 5.1 sound system) from my phone or another PC. Very nice."
"on January 5, 2015","Delivers what it promises, access to the music of your choice without having to wait through stuff you don't. I am able to create my own playlists because no one understands my taste like me."
"on June 28, 2016","Very good. Has all types of music. I enjoy music I haven't heard in years."
"on August 2, 2016","Awesome for music love it you should get this app totally worth it"
"on September 19, 2016","They have all the artist covered picked some new sounds"
"on September 17, 2015","This is the perfect thing for listening to a variety of songs from a band or if you get premium for $10 a month you can listen to any song"
"on September 27, 2016","Love it very useful and has a great variety of music!"
"on July 6, 2016","I am really enjoying this music app. So far, it's my favorite one... ☺😊"
"on January 14, 2016","Excellent Seller!! I highly recommend this seller to everyone! Fast delivery and excellent products! Thank You!"
"on January 23, 2015","Everything about this app seems perfect. The only way it could maybe be better is if I never had to listen to adds. Lol, yea, keep dreaming. Na, I highly recommend Spotify. Jam on, peeps."
"on November 21, 2014","I absolutely love it. I can endlessly listen Czech music, Christmas songs, American music , you name it. You found songs you listen when you were 15 years old. I have my addiction. Try it it is free."
"on April 10, 2017","Spotify is very good. Or I mean amazing but I can't update it. When I turned my updates on, it kept trying to update but it wouldn't. I would love it if I could be able to update it. Other then that it's a five star app and I'm greatly confused why there is less then three stars. Also, If more songs could be added on. Some songs I know are not on Spotify. Like ""Buy the Stars,"" by Marina and the Diamonds. Or maybe I'm not looking hard enough? Either way, it would be nice to have updates and more songs. But still, five stars to you creator's of Spotify!"
"on March 19, 2016","I love Spotify . best music streaming app because it lets you create your own playlists! A MUST!"
"on September 11, 2015","Spotify is one of the most reliable music players. It doesn't crash, freeze and has almost every artist you can think of. One word AMAZING!"
"on November 30, 2014","I especially love how you can put your songs in playlists! And that all the songs are absolutely free !! I would recommend this app for anybody who likes things that are free and are music lovers!!!"
"on January 26, 2016","It's pretty good but u can't just tap and song will come on only when a 14-7 free trial so it is pretty good"
"on December 4, 2016","It is an awesome app, GET IT. Its free"
"on October 16, 2015","I love this app so much better than Pandora because you can play the music you want. It's much easier to navigate too😁😃😁😃😁😃😃"
"on August 4, 2014","It's free and has all types of music you'll love! If you want to listen offline, you'll have to get premium Spotify, or you could do the free trial, but still! It's worth it! I recommend this app to anyone who likes music!"
"on October 16, 2015","Best music streaming app out there. I haven't had any problems with it, very intuitive and easy to use. Absolutely would recommend."
"on December 16, 2016","the only music i need on my phone."
"on October 8, 2016","Love the variety- music the way I want to hear it!"
"on August 12, 2016","Love that I can make my own play list and decide who can see it"
"on May 17, 2016","A very good selection but I find it hard to burn my disc once I have downloaded it."
"on December 3, 2016","I just love this app. it works great."
"on September 20, 2016","This app is great because it is like customized radio."
"on March 29, 2016","Great choices. Please remember we had the free service, which means commercials in between the songs"
"on November 24, 2015","Just tried. I may already be addicted. Love the afternoon acoustic genre. Could listen all day. Love it while reading."
"on May 26, 2017","Don't have mixtapes"
"on August 28, 2017","Music lovers dream!"
"on August 29, 2016","I love spotify and use it at the office all day... LOVE!!!!"
"on April 15, 2017","Better than Pandora"
"on June 10, 2017","Great app! Love it."
"on June 4, 2017","Awesome music app!!"
"on May 20, 2017","Love using them all"
"on January 22, 2017","Amazing! <3 favorite app ever."
"on January 14, 2017","STUPID Appallingly Dumb"
"on January 21, 2017","All we use with training. Love it"
"on January 12, 2017","Best music app out there. Period."
"on January 17, 2017","FREAKING AMAZING!!!!!LOVE IT!!!!!"
"on February 6, 2017","Love this app! No issues at all!"
"on December 31, 2016","LOVE IT THE I CHOICE I MADE TODAY"
"on January 11, 2017","love it have it playing everyday."
"on February 2, 2017","Pretty good. Would recommend it."
"on December 24, 2015","Amazing I can find all my fav artists on here (besides T.Swift) Just, complete perfection, a must have. 🙌🙌🙌"
"on December 27, 2016","Singing and dancing ....loving it"
"on August 11, 2016","I love the app but i wish they had all of my favorite song"
"on May 26, 2017","Great"
"on December 6, 2016","Very nice has all my favorite songs."
"on October 28, 2015","Totally addicted to exploring all music genres, as well as listening to comedy, and audio books and instruction. Luving it all!"
"on May 24, 2016","Couldn't have been easier or more intuitive. This is how technology should work!"
"on October 27, 2015","I started using spotify on the computer and now I have it of all of my devices. I would reccomend it to anyone that loves music."
"on October 9, 2015","I've learned about so much new music through Spotify. I like being able to send a relative in France a song, or an album I like too."
"on October 6, 2017","I love it and its cool"
"on September 27, 2016","Really nice listen to music everyday  I love it"
"on October 31, 2015","Spotify is one of the best music apps to have. Any album, an artist you can think of is available thru Spotify!! Can't be beat!"
"on September 3, 2014","I grew up with a turntable, reel to reel tape and AM radio, then marveled when FM and cassette tapes rocked my world with improved sound and portability. CDs upped the ante. MP3s, portable digital players and satellite radio further extended content and quality. Then something wonderful happened and changed everything: enter Spotify. Spotify’s paid subscription delivers ad-free all you can eat music with every song you can think of and access to every genre old and new. Combine that with phenomenal quality and universal streaming access via any smart device – PC, smart TV, streaming media player, tablet and smartphone – and musical nirvana is mine. In practice, Spotify can be quite daunting. What genre, group, album or song would I like to listen to now or download to my device for later? Spotify makes answering this question easier with options for matching your mood or activity with playlists supplied by Spotify experts and other users as well as searching and browsing tools that deliver clear results with helpful, relevant recommendations. The Spotify experience plays out differently across each of my typical use cases – desktop PC with near-field monitor speakers, tablet with Bluetooth connection to living room home theater sound system and smartphone with Bluetooth connection to car stereo or wireless headphones – but each one delivers exceptional results. Frankly, exploring Spotify on a 24 inch desktop computer display and hearing the results on studio-quality monitors pointed at each ear is thrilling. This is where I can truly grasp even the finest musical nuances and how I can accurately judge Spotify’s streaming media as excellent. Spotify on my 8.9 inch Kindle HD adds a novel musical dimension to sitting on the living room couch or hanging in the kitchen with family and friends, enabling one and all to queue their favorites, contributing background or central focus for conversation. Handing the Bluetooth connected tablet to a newcomer often requires a few moments for instruction on finding and queueing tunes that benefit from my home theater’s surround sound with subwoofer speakers. Recently, I introduced a friend with a room-sized, wall to wall audio collection to Spotify, who said this tablet solution could, should and would replace his shelves and stacks with instant musical gratification. Smartphone Spotify brings an endless mobile musical mix to the gym and in the car. In both cases, I typically rely on a quick search for a favorite group or mood-matching playlist, then get moving. My Bluetooth headset’s controls make it easy to pause, skip or replay tunes playing on the Spotify app without touching my phone. On the road with my smartphone connected to the car stereo via Bluetooth, the Spotify app’s big Shuffle Play button makes moving past less desired tracks effortless while maintaining the spontaneity akin to broadcast radio. While all these options for consuming music are first rate, the most important service feature remains Spotify’s monumental breadth and scope. The collection offered by Spotify fulfills my dual desires for deep diving in my musical past as well as expanding my horizons."
"on March 2, 2016","The best app for listening to the music you love, finding new music, and finding curated playlists."
"on April 7, 2015","This is so great you can play any kind of music anywhere I haven't put it on my new phone yet but it nice and free they also have one that cost if you want commercial free."
"on September 29, 2015","This app is awesome but it only one problem if you have kids they can't have this app cause it only has the bad word versions of songs"
"on February 17, 2017","YES, ONE OF MY FAVORITE MUSIC APPS!"
"on January 3, 2015","it took a little bit for me to figure out how it worked, but I love the fact that I can download the ""best of"" and listen to all my favorites without having to do them one at a time."
"on July 1, 2015","I love this app but yet when I try to look for some songs they dont have it and trust me I love they all its just some of the songs I want I can't find 😢"
"on July 18, 2016","Lots of music basically everything love this app highly recommended."
"on January 13, 2015","I've tried two Bluetooth devices and while the play function works, the pause function does not. Also, the pause function does work with the iOS spotify app. Could you please fix this? Thank you. :)"
"on December 8, 2016","Would be a 5 if less cost per month"
"on January 12, 2016","It is the best music app. While not necessary the paid version makes it even better and is certainly worth it."
"on January 2, 2015","This app is the best. You can get free music when online and then you can download the music too."
"on June 21, 2016","I like being able to choose my music with having the access to it anytime."
"on February 16, 2016","You can make playlists. And listen to other ones already made depending on your mood and such. 5 stars"
"on July 17, 2016","Best music site ever. upgraded to premium and am very happy with it."
"on November 9, 2014","I just got this app and I have no problems with it so far. It has a ton of music and a lot I've never heard before. Super awesome. I recommend it if you're looking for something different than Pandora."
"on May 25, 2016","App feels like it could use a bit more polish, but overall it works well enough."
"on March 26, 2016","Spotify is an awesome app for listening to music. I LOVE IT SO MUCH, ONE OF MY FAVORITE APPS."
"on October 11, 2016","This Spotisfy app is great! Totally recommended!"
"on March 7, 2015","Finally figured out I can &#34;collect&#34; my favorite songs to remember the new ones...love the playlists and genres offered!!!! So great hearing new songs that I like!"
"on September 9, 2015","I can't live without my Spotify!!! Best music streaming site by far. If you can think of it, Spotify has it! I love the radio feature too."
"on July 25, 2016","Pleased with the service. Worth every penny for paid subscription."
"on August 27, 2014","I love this app so much. All the other music apps I tried it would let me download a song but the next day it was gone!!! I love this app because it doesn't do that. You should get this app. You will not regret it!!!"
"on May 25, 2017","Fun simple to use."
"on June 6, 2017","Love love love!!!!"
"on March 9, 2017","Greatest music app"
"on March 28, 2017","Love my Spotify!!!"
"on June 18, 2017","I love it so. Much"
"on May 24, 2017","Absolutely love it"
"on January 7, 2017","It's okay but I get stuck on ads"
"on September 5, 2017","excellent music when you want it"
"on July 24, 2017","Great selection and easy to use!"
"on July 24, 2017","It works well,I use it every day"
"on December 25, 2016","Better than Pandora and XM Radio"
"on January 11, 2017","This app has every song you need"
"on January 1, 2017","It's a fun and great app to have"
"on November 10, 2016","Music is not 30 minutes ad free!"
"on December 29, 2016","Improve musical artists catalogs"
"on February 11, 2017","I have such choices with spotify"
"on January 4, 2017","Ya boi is satisfied with dis app"
"on September 22, 2017","💁🏻"
"on September 22, 2017","Good"
"on September 7, 2017","Slow"
"on May 30, 2015","It is excellent, I Love it ,I listen to all my favorite singers whenever I like and I can play my favorite songs over and over again .I definitely recommend it."
"on July 18, 2017","👍🏻"
"on April 28, 2016","I don't understand why you need to pay for offline. But otherwise it's an awesome app!"
"on December 6, 2016","Great asset to old geezers like me."
"on March 15, 2015","I really really like this but the ad and the update Kindley get on my nerves. What to upgrade to premium I would but does it have reminds every time I won't to listen to a song"
"on December 10, 2016","Awesome App! Got me back to music!"
"on August 2, 2015","I love this app so much . I listen to it constant. But when it tells you to get app free music it pause for along time.besides that it's awesome."
"on November 22, 2015","Sporting is a great app but you have to buy premium for no adds and to play it anywhere. Otherwise it's still a great app"
"on December 18, 2016","It has great music to listen too"
"on December 13, 2016","Great selection, easy to operate."
"on July 27, 2016","How can you not love it. All these albums, new and old. Fantastic"
"on December 17, 2015","When you want Christmas music and you have no money? WELL GET SPOTIFY IYS EASY TO USE AND IT HAS TONS OF FREE MUSIC"
"on January 2, 2017","Great selection of music that fits my taste."
"on December 17, 2016","Good service with vast catalogue"
"on December 7, 2015","Love this app! My radio in My car went out so music on My Galaxy 5 has saved me!"
"on August 25, 2016","You can hear all the good music you like. This is so cool!"
"on March 17, 2015","Can't really listen to it offline cause it won't let me update it to premium. :/ bums me out but its still cool so I recommend you get it. It might work for you so. Good luck."
"on July 3, 2016","Love this app! Just started using suggested playlists, and they are fantastic."
"on October 8, 2017","Amazing Helpful"
"on December 31, 2014","Once I had to Uninstal then reinstall, other than that, it's great. You can't get any Beatles because they have an exclusive contract with IPhone. Other than that, I have really enjoyed it."
"on January 15, 2017","I love spotifi can't live without it"
"on August 26, 2014","Nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice nice music"
"on March 12, 2017","It is really good"
"on May 2, 2017","The best there is"
"on June 4, 2017","I love it a lot💖"
"on February 15, 2017","I love this Spotify app thingy."
"on January 13, 2017","Awesome. I love this app!😺😺😺"
"on January 9, 2017","quality and selection are great"
"on February 24, 2017","This is the best music app ever"
"on February 6, 2017","Excellent. Use this app daily."
"on January 19, 2017","Best music app ever hand's down"
"on February 1, 2017","One economical masterpiece"
"on January 14, 2017","It gives u premium for free☺☺☺☺"
"on October 28, 2015","Spotify provides my entire family with good music all day. My 2 year old loves music and Spotify fills his day with happiness."
"on December 27, 2016","Its Spotify, whats not to like."
"on December 2, 2016","Love the top of the year collection"
"on September 10, 2014","It's the best of it's kind in my opinion. The only thing I dont like is that the program switches to another song thats not on your playlist, and you cant go back without exiting and reset. They need to fix that."
"on December 1, 2014","Spotify plays my music when I want it where I want it. It has a numerous amount of play list to listen from and all your favorite artists. Spotify is an amazing app that lets you play your music."
"on March 8, 2016","Ever since I've discovered spotify ... I've quit using any other music streaming app!😁 LOVE IT!"
"on December 15, 2016","Have been happy with it so far!!"
"on June 6, 2016","Spotify is a great way to access a huge library of music! I use it everyday."
"on February 23, 2016","The Valdez family love's this spotify app killer music and inpo any where you are you better get it"
"on November 1, 2014","There's pretty much nothing bad I can say about this app. Considering all the music you're getting for free, ads and shuffle play are a small price to pay. Must download if you like listening to music."
"on February 1, 2015","Pretty much perfect on the iPhone but on my new fire phone the song information does not transmit over Bluetooth streaming in my car. Other than that, it's well worth the 10 dollars."
"on February 27, 2016","I LOVE THIS APP STORE AND THE TV so I was really good and Jordan darted to use the status updates."
"on March 20, 2016","Its even easier to use this app on my kindle than on my iPhone. I love it and I love Spotify!"
"on September 16, 2015","Just awesome. Well designed. Easy to use. Clearly well thought through. You got to try it to understand why everyone's raving about it!"
"on November 25, 2014","Spotlight is a great app. It has a wide selection of music and artist. However it doesn't shave artist that have not made albums but have mixtape like Chance The Rapper. Overall it is a great app."
"on November 5, 2014","Absolutely love this app, is easy to use ...way better than any other music streaming app out there hands down. Especially if your willing to pay $12 a month for the premium package version. Great job"
"on April 13, 2016","I of a music lover and this app make it possible to play any song I want when I haveWiFi"
"on April 1, 2015","It is very amazing and I can listen to anything I want I will upgrade to premium soon anyways for birthday And very good sound and amazing songs on there very amazing"
"on July 14, 2016","I love it you should listen to god is on the move it's a great song"
"on April 8, 2016","plays my favorite songs flawlessly on every device I have. My kindle being the latest one"
"on March 19, 2016","Awesome it works so well I wish you did not have to pay for premium content but still amazing"
"on November 13, 2016","Is a grate app easy to use and to fined"
"on August 13, 2014","I hate that I have to play the playlist and can't choose what song I want. I also hate that I can't rewind the current song, play the song again, or go back to a previous song. The iPad app is much more user-friendly."
"on January 11, 2015","Although there are still commercials, it's still better than Pandora. Good selection and you can make playlists of songs you WANT to listen to not what a program thinks you want to hear."
"on November 16, 2015","Excellent service. I enjoy it very much! Large selection of music choices to choose from. Easy to find selections I want."
"on May 17, 2016","Spotify is awesome I can listen to any song. I only want it offline with out 4g."
"on January 25, 2015","I love this app. When I do homework I have to tune out the world around me without getting g distracted by my music. The focus music category is my hero. I have music for every mood:)"
"on January 12, 2016","Best music app so far."
"on August 22, 2014","I have been using this app for years, but I don't have spotlight premium. That is the one flaw I have found. I wish you can play a track from track one to the last track. I have to play the playlist in shuffle mode."
"on March 18, 2016","You can almost find any song you want I really recommend it if you love music as much as I do"
"on March 5, 2016","I enjoyed my music play lists, the music selection was awesome. Very easy to use and understand."
"on September 16, 2016","easy to dance to , good beat , love the endorsements"
"on September 9, 2015","I enjoy listening to music a lot. Spotify allows me to search for it by title or artist and I've built a library to listen to as I want."
"on March 11, 2015","I love this app it has all the music I love to jam out to! They also have stations previously made for different activities and moods. I totally recommend this app for anyone."
"on October 16, 2016","Amazing. Absolutely love it. 5 stars from me."
"on May 16, 2016","This is a great way to explore new music, with out having to spend $0.99 a song."
"on June 28, 2014","Nice way to enjoy my own favorites of 50's, 60's and 70's music."
"on October 23, 2015","There is a virous rn on this music app. I don't know what it is, but it's not only me with the virous, spotify needs to fix it"
"on April 24, 2017","Love this app!!!"
"on June 12, 2017","G this app is g8"
"on August 8, 2017","Toooooo many ads"
"on July 17, 2017","Great app to get"
"on May 4, 2017","is disappointing"
"on June 8, 2017","Spotify bruuuuuh"
"on June 14, 2017","This ois amazing"
"on June 28, 2017","Its the best app"
"on May 23, 2017","Simply the best!"
"on January 14, 2017","I love it @ Awesome and legit"
"on December 26, 2016","very good app for music lovers"
"on January 14, 2017","Any song, anytime, anywhere!!!"
"on January 19, 2017","Great application, works great"
"on December 29, 2016","could ask for anything better."
"on January 15, 2017","awsome has all songs;) 😀"
"on March 4, 2016","I've come across very few songs I can't get, probably because of the artist's choice to opt out."
"on January 2, 2017","No problems so far. Thank you!"
"on September 2, 2016","Amazon is truly awesome! We love it and it's products !"
"on September 26, 2017","😍"
"on October 18, 2015","I enjoy that vast selection of music from spotify, my only gripe is that some music sounds a but better on different services."
"on June 8, 2015","I love it. I have premium so it's nice to listen to your favorite music wherever and whenever. Wish Taylor Swift would put her music back on there though :)"
"on October 23, 2014","On spotify you can create a playlist out of certain songs and then you hit shuffle and it only plays that songs my only flaw is that unlike Pandora you don't have a alarm. Clock on it but i recommend it"
"on September 21, 2015","The only negative I noticed on this app is. Not much independent artist. As well as current/ New artist not every song is on this app"
"on November 1, 2016","Love the variety of music to choose from."
"on July 15, 2015","I listen to Spotify everyday, since I'm a student I get the premium version for only $6 and it's so worth it to listen to any song you can dream of!"
"on February 1, 2016","Only had for a few days but so far it's been great! Easy to find the music that i like and easy to use!"
"on September 18, 2016","All it needs is to remove premium and it will iight"
"on January 5, 2016","The app works well enough. There are a few little quirks they need to work out, but overall it works alright."
"on February 5, 2016","I like Spotify because it only plays music by the artist you choose. Not but people in the same genre."
"on December 5, 2016","Always have and will love Spotify"
"on March 28, 2016","I really enjoy calling up any album I want. Even ones that are unavailable through Amazon."
"on May 9, 2015","Many people are looking for offline free music I think Spotify is one of th best music apps for music. They provide you with premium.deals and even better deals."
"on June 4, 2016","Yes it is awesome love it. Easy to find a create. Good job people"
