"Date","Rev"
"November 19, 2012","Just a great free app for music on my global two Android. Good music at a great price. That's plenty."
"November 29, 2014","I find the loop of music too short. I only received my Kindle about 2 weeks ago and am already getting lots of repeat songs, which shouldn't be happening so soon with all the zillions of songs out there. Also, when I click on the Beatles station, I get a lot of music before Beatles music happens. Yes, I'm on shuffle, but I thought when I was on a station, I'd hear at least a lot of that music. But the short loop is my primary dissatisfaction. I haven't updated to the no-advertisement membership because I don't mind them. I thought perhaps if I did upgrade, I'd get a longer time between repeat songs, but that's not what no-ads means, so I'm not sure that would solve the problem."
"January 11, 2012","the best stream radio i wanted one song i love but instead it not only gave me that song/artistubut many more just like it"
"October 24, 2011","I can't stop using this app. Very enjoyable. No problems so far. Who doesn't like having music of their choice anytime, anywhere?"
"September 16, 2016","Love every purpose intended.... but like when I run out of skips it happens to stations I have listened to in days. And a few times every time I skip it sometimes plays the same song back to back three times in a row. Other than the stupid, small flaws.... I love it"
"January 21, 2012","why is everyone crying about free music???? this app is awesome Works great plays exactly what I want to hear every time."
"February 2, 2017","it keeps coming on when I'm doing something else on another menu. I can't get rid of it unless I completely close down my device."
"April 14, 2013","Pandora is the best app (or internet site) out there. Your music, all the time with only a few short ads every 10 songs or so (they have to make money some how). I am a child of the 70's so my Eagles Radio gives me all the classic rock I could ever want. The pre-programmed stations are great too. Gotta love a little disco from time to time on 70's radio. And sometimes I even like a little country. Listen at home on the internet, on your smart phone, tablet.. and of course Kindle. Wifi or 3 or 4 G. Make your own station based on any of your favorite bands. The more music you ""like"" the more customized it becomes. thumbs down and you never hear it again."
"June 23, 2016","love it"
"January 25, 2013","It plays well but I feel limited in how it plays. The screen is clear but not easy to use."
"April 20, 2014","okay"
"January 2, 2014","I love Pandora but lately it's been refreshing in the middle of a song and starts a new one. It also just shuts down if you are on silk for more than couple of minutes. Like maybe two songs at most. I know that if you don't like a song for a while it will as you if you are still listening but it's not like that. It will just shut down completely. I like listing to Pandora while I'm browsing the Internet on silk but now I can't. Please fix"
"February 13, 2015","I find that when you create a radio station that the same songs play over and over again. In my case I created several 'radio stations' based on performers such as Simon & Garfunkel. I know S & G have recorded many songs but only heard three or four of them along with a lot of other performers music that was of only marginal interest to me. If you skip too many songs - you get a message that is not allowed as often as you like.  I also found over the two months I tried using it that most of the music was from albums recorded at 'live' events, I prefer the higher quality studio songs - I don't seem to have any choice in the issue. No longer using Pandora."
"February 16, 2015","It's free! With adverts. And you have to create a Pandora account or sign in with an existing one. :P And you can only use it while connected to the internet, which makes sense, but is a bit of a bummer. No airplane mode with this one! It took me a little time to figure out how to navigate, but it's fairly simple, so I think I've got the basics down. The best part is that you can run this in the background while you do other things on your Kindle; I like to listen as I read, especially since I haven't gotten my own music onto my Fire yet. I think it's best suited for people already familiar with Pandora, but I recommend it for anyone who's online and wants some music!"
"January 13, 2013","I like I hart radio better. I have only listened to it once. . . . . . . ."
"May 8, 2012","Ok so I discovered Pandora and fell in love with it. I like that I can change and create my own stations."
"January 12, 2013","it is not that good but it a app what can u do lol so get it or dont haha"
"January 4, 2013","Works great, easy download and streams well.... .. . . . . . . . . . . . ."
"April 2, 2014","Put this on my Kindle and also my computer as I really enjoy listening to music. When you enter an artist, you get a mix of that artist along with similar artists. You can put in multiple artists and put the music on shuffle and it will go back and forth between artists/genres. Although not significant, I have found that the information/lyrics are sometimes incorrect. For example, I can't remember who they said wrote the song OHIO, but it was not the correct artist-it was written by Neil Young. Not generally a big deal or problem. I have opted to not pay the 3.99/mo to get Pandora commercial free as they are all less than 30 seconds and for me are not bothersome."
"March 17, 2012","its ok but needs better options for phone. your music genre is next to none. volume control would be awesome."
"January 23, 2013","I would recommend this to anyone that I know that has Kindle. I was surprised at the quality of music on my Kindle."
"February 4, 2012","best app i downloaded for my tablet. if you want to listen to music when ever you want i HIGHLY RECOMEND this app"
"September 28, 2016","I like the fact I'm able to pick the songs i like"
"June 26, 2015","I absolutely love Pandora! I choose to add the monthly subscription (it's like $3.99 a month) and the subscription is totally worth it. Regular Pandora has occasional ads that you can't skip but with the subscription there are no ads. I use this app every day, I have all my favorite stations trained to play my favorite songs all the time. I have even found new artists and songs I didn't know existed as Pandora will occasionally add a random new song or artist into the mix."
"September 25, 2016","My account shows that I have this app, but I don't - Every time I click on it, it says my 'session has timed out' (although I just tried opening it) and other times it says that 'an account cannot be set up for me at this time' (or words to that effect)."
"November 8, 2015","I have a complaint. . . My Elvis Presley channel plays one to two of Elvis songs in a hour. I hear more Waylon and Johnnie cash than Elvis. The same goes for all the other channels I set. Why set up your favorite artists when you play what you want?"
"May 24, 2014","Another ap that won't open just goes back to home screen of the kindle. Very annoying. (But hey that's what my droid and iPod are for.....right?)"
"March 10, 2015","Pandora used to have a nice interface. Now it spams you with alarm notifications and ads that must be manually closed. You have to go through 3 screens just to close the program. It doesn't support the menu button. It turns on and off randomly, so you can't let it idle in the background. Perfect, now after I have been bluetooth streaming in the car, leave the car and let the app shut itself down, it will wake up on a whim at a random time and blare music. When I'm in a meeting or library. Awesome.... Fix your app, Pandora. There is no excuse for this laziness or intentional annoyance. I know that I would never pay for premium these issues."
"May 16, 2016","I love the app but one problem: the comment section. People keep leaving chain mail for example, say this kiss your hand post this on other songs in minutes and you will have good luck and people are swearing and giving out personal information. And I keep saying, "" do not give out personal information like that you never know what will happen."". And people are just being inappropriate. So, either take down the comment section or make sure to be super strict like on Moviestar Planet."
"February 20, 2015","Too many ads"
"September 6, 2013","I use al the time instead of playing my radio at home and in the car. This app is a must have."
"November 22, 2011","why all of a sudden it only play 1 minute of every song but plays complete commercials??????? Get this fixed ASAP!!!"
"September 4, 2016","Love this! However, too many and too long pauses. Guess I'm having trouble with streaming. I'm not tech savvy, so I'm at a loss as to what the problem is or what to do to remedy it."
"February 24, 2012","Got the droid x update and now it doesn't shut down on me anymore! Love it! Works better than slacker imo"
"December 30, 2013","My neighbor helped me sign-up on Pandora. We were able to listen to great, instrumental Christmas music. Now I can listen to many different varieties of music that my wife and I enjoy. Mostly easy-listening. I have a wireless speaker that I can take to any room I want and the music is right there. What a treat. No more crap radio."
"June 24, 2015","I give this a 5 star rating because I am really stuck to music, and it is free!!! I can create new stations. But the big deal is adds. Every song I play, I leave my fire on my bed and listen to an add, and another one comes on. UUUUURRRRRGGGGG!!!!! So I almost put a 4 star rating.😞😠. But my 💜 (heart) told me not to. So I didn't. I told my mom last night I wish that there were NO adds in the world. But I have really great station's like Dove Camron or Ariana Grande."
"November 14, 2016","I don't know if anyone else has noticed this, but I sometimes hear the same songs over and over again - in the same order. It's getting a little aggravating, because even though I like those songs, I don't want to hear the same ones in the same order every time I listen to a station. I've only noticed it happening on the Pop Rock radio I have, thankfully. Pandora often offers me a new song when I first click on the station, but it's usually a song I don't like (and I'm not holding that against them, of course). So I'll put a thumbs down. But then I get the same songs all over again. It's quite frustrating."
"September 3, 2015","Worked great for 4 months, but now will not play at all! This is the second phone (HTC ONE M9) that this has happened to. The other phone was a Galaxy S4, the situation could never be resolved on that phone either. I have been a paying subscriber for a long time now, but that ends today. Too many people have the same problem as I do and Pandora's solution does not work. I hate to say goodbye to Pandora but I don't feel that I have any choice. Thank you."
"July 18, 2016","I have been using Pandora for years now and I absolutely adore the service! I must have 15 custom-created stations on it . Not only do i enjoy music I know but it also gives me the opportunity to hear new music and artists I have never heard before."
"April 6, 2016","This app would place the picture of the letter p in my photo gallery in several different spots and I would remove them and it would do it again so I removed it from my phone."
"July 6, 2017","I am 10 and I have no idea what a zip code is! I can't sign in! I thought you just get to hear music, but no! I uninstalled because I don't want to go though all this stuff... Darn it :("
"October 4, 2016","Good music app. You are able to create a profile and start listening right away without having to download each song. You are able to pick an artist or genre and it gives you a variety of music. You can pick anything from smooth jazz to lil wayne. There a few short ads that pop up in between songs. You are able to skip I think 5 or 6 at a time if you don't want to hear it at the moment. This app learns your tastes and will suggest songs or remove ones you didn't like from your playlist. I like that you can even listen to comedy skits or holiday music. If you are looking for a good music app this is it."
"May 10, 2016","I think the sound quality and volume varies a lot from song to song. Unfortunately which is just like radio. I have had Cirus satellite radio in my car for a while. I thought it was great! But for the $15 / mo. that they wanted for a subscription, they didn't have enough stations I wanted to make it worth while. I play cd's a lot because of sound quality and level. My wife only uses her Pandora once in a while."
"June 4, 2016","Took it off my tablet almost as soon as I put it on. Not a huge fan of Pandora and didn't like the way the app worked."
"August 2, 2015","Pandora app works as intended, however having a video add literally every 2-3 songs is a bit excessive. I loved how there was a programming bug at one point of time that caused AD interruptions, however seems like that has been since fixed. The only other thing I can think of is how it recommends like artists for your playlist. Very redundant on songs, little variety. Some recommendations are complete outside the genre that you are listening to. Songs that I have downvoted still play, it is a very broken system. If Grooveshark wouldn't have been shut down, I would definitely not be using Pandora. Needs improvement for sure."
"May 8, 2014","I was reading the reviews while Pandora got downloaded on my kindle, then I open it, and... It didn't work on Peru. Yes, I am in Peru and I talk English pretty well, and I am American. Yeah, confusing. But the point is that it doesn't work everywhere. It just works in the US. Bam, they got me. I usually give good reviews, but I couldn't even use it, so, what's the point? Thanks, and put useful to this review, please. Oh, I think you'd like hotspot fm. Look for I, it's free. Thanks"
"October 29, 2016","Love this app. I can listen to all my favorite artists and it selects music according to what I have listened to. Only downside is you can only skip 5 songs at a time and then you have to listen to what they have chosed."
"November 14, 2016","I love this app, and will continue to use it even with the other apps out there. Pandora will forever be my favorite one. I wish it was free from ads, but I guess that is why you have the option to buy it without ads"
"June 3, 2013","This app is awesome. So can make your own playlists by your favorite singers or songs. And most of the songs allow you to look at the lyrics for that song. Another reason why this app is awesome is because you can listen to songs for hours and they never pay the same songs over and over again. You can also taste the songs if they are playing a song that u dont like then u can hit the thumb down button and it will never pay that song on that playlist again. This app is great. I highly recommend this app. The only bad thing is you only get six skips per hour on each playlist. But when your listening to Pandora time flies by!"
"July 30, 2015","Pandora makes it super easy to assemble music of the same genre. I have created a lot of radio stations, but when I made a station from one particularly relaxing track (by David and Steve Gordon), Pandora found more music like it than I ever expected to find. I love discovering new titles and learning about the artists. This station is like being at a spa every time I hear the selection of music that Pandora plays. I hope Pandora will always be around."
"March 5, 2012","Great i love it you can mix your music to the way you like it and its all free.Did i say free."
"February 4, 2016","I love Pandora!!! It gives me the choice of what I want to listen to without pushing buttons to find that one station. If I want to change it, it can be done just for me.  My preference is SMOOTH JAZZ it gives peace of mind and I can meditate, relax, after work or cleaning house on a Saturday morning.  Even when I have a bad day SMOOTH JAZZ is the way to go. Variety with PANDORA is the way to go......  A+++++++"
"March 24, 2017","I rated this app 5 stars because of how im able to personalize my stations and how wide the variety of music is I LOVE PANDORA!!!!"
"November 6, 2016","How can you not love Pandora? Whatever music you want, when you want it."
"November 11, 2017","I really loved Pandorea until today when I opened it and it was a totally different format. This format allows annoying ads to be on top of the song information where before ads were in the corner. My grandmas old phone had this format about ten years ago! I do not like the format and think it is harder to use. Please change it back!"
"January 18, 2013","It is a great way to hear your favorite music when using your Kindle for another app. I also like the fact I can listen wherever I can use my Kindle."
"January 23, 2014","I would give it 5 stars, if, when searching for a song, or creating a station based on a song, that song is played first, so I know I've chosed the right song/artist. Another reason for the less than perfect rating is the commericals. I understand the need for them, but not more than once every 3 songs. And not the same commercial every other time. I just shut it off and switch back to regular radio at that point. The final issue is buffering. Mine does that a lot, right in the middle of the song sometimes."
"May 9, 2014","My wife and I chose this app. after we purchased a Kindle Fire HD. The variety of music with Pandora is the best we have ever heard. Many of the album cuts by the artists you choose and others are cuts we have never heard and it's always a pleasure to hear a song by a favorite artist for the first time. Their may be other apps out there that are similar to Pandora and maybe better but my wife and I aren't looking. We are permanent Pandora listeners. It also works well with our TV's through Roku and Smart TV's. We highly recommend Pandora for all music lovers and the variety it brings to your life."
"December 6, 2013","nice"
"March 5, 2016","I purchased the Pandora One subscription. There are several things I enjoy about Pandora. I have been able to check my favorites list when I wanted to check out a song I've heard for the first time I liked. Being able to give a song a thumbs up or down helps control which songs I want on rotation too. You can use the free Pandora with all the same features too. The only difference is the free version contains ads."
"June 30, 2016","GET THIS GAME U CAN LISTEN TO ALL YOUR SONGS AND U CAN SEARCH THEM TOO PLUS U CAN PUT THUMPS UP OR DOWN BUT I LOVE THIS APP IF I WERE U I WOULD GET THIS APP!! :)P.S. SEARCH FOR ZARA MARIA LARSSON I LOVE HER SONGS U SHOULD SEARCH IT ALSO THERE ARE TWO ZARA LARSSONS ONE IS OLDER ONE IS NOT OK WELL I HOPE U GET THIS!!!💜💜💜💜💜💜💜💜💜😁😁😁😁😂😂😂😂😂😉😉😉😉😊😍😍😊😊😍😊😊😊😊😉😉😉😉😂😂😁💟💟💟🎇🎇🎶🎶🎶🎶🎉🎉🎉🎤🎤🎤🎤🎤🎤🎤🎤🎤🎤🎤🎤🎧🎧🎧😃🎧🎧🎧🎧🎧🎧👏👏👏👏👏👏👏👏💘💘💘💘💘💘💘💘💘😭🎶🎶🎶🎶🎶🎶🎶🎶🎶🎶🎵🎵🎵🎵🎵🎵🎵🎵🎵🎵🎼🎼🎼🎼🎼🎼🎻🎻🎻🎻🎻🎻🎺🎺🎺🎹🎹🎹🎷🎸🎸🎸🎷🎷🎷"
"October 12, 2017","for my life span, all the tunes I've listened to, Pandora is awesome!"
"January 29, 2016","My pandora wouldn't upload correctly so when I deleted it to try and reinstall, it erased from my apps but still said I had it in my appstore which is completely false! Everytime I hit ""uninstall"" on my amazon appstore the appstore completely closes. Very dissapointed"
"March 1, 2015","Pandora is one of the greatest inventions to come from the internet. Thank you to the creator! I love being able to put on music customized to my specific likes and moods. This is a must have for everyone. Who doesn't like music?! The commercials every so often are annoying but I'm too cheap to purchase ad free listening."
"July 16, 2016","I've been a Pandora subscriber for years and only recently added this app to my phone. The same channels I created for my laptop/desktop automatically are there with phone app. No set up or cumbersome issues to get started with app"
"January 24, 2012","I got this app for my T301 and it's AWESOME! I can jam to the radio all day long for FREE!"
"December 1, 2012","Used to be ok, but now is loaded with ads you have to watch or listen too and limitations , they try to force you to subscribe at $5 a month. No thanks, Removed."
"May 26, 2014","I didn't even get a chance to listen to music on Pandora because it will load on my Kindle for literally 2 seconds and then it says it timed out then goes back to the home screen. Seriously! It timed out after 2 seconds! I would rate this 0 stars if I could. I love Pandora the app works on my phone but why not this. I am uninstalling and reinstalling and hope that it is fixed."
"November 13, 2016","This site enables you to pick that one singer that you want to hear more of and create your station, voila, there you are, hearing your favorite singer, you can create as many stations you want, I have 7!!"
"December 16, 2016","Whether it's Pandora's problem or Amazon's, this is a problem that MUST be fixed. If there's one thing in the modern world that absolutely ought to work no less than 100% of the time, it's an alarm clock. Pandora on kindle does not. It works sometimes, maybe. Sometimes Pandora starts playing by itself at inappropriate times (maybe alarm related?). Today my 5am alarm went off...at 12:38pm. Connected to the internet the whole time every time. Pandora is a great service, and I will change my review to 5 stars once this critical error is reversed and works consistently."
"June 10, 2016","I like this app but the buffering is driving me crazy! I have a Kindle Fire and the app buffers like crazy at the beginning when you start to use it. Once it starts and you get the station or music you like its ok at that time."
"January 13, 2017","Absolutely LOVE it......I am 57 y/o and completely new to this .......... for 1st day after getting first BT Speaker for working out n shop SO The 1st day I tried that Heart station and within less than 4 hours started getting repeats and it was like having a short mp3 playlist ....got irritating and boing Real Quick...........DAY 2 Broke the HEART and installed Pandora, clicked Jack Johnson station and BLISS, eclectic mix and it has been 3 days now and if there have been repeats I have not noticed because I am TOO Busy dancing and Loving it 100% !! PERFECT"
"August 11, 2016","Best music app - listen to it every day. Option to block explicit lyrics is genius. Thumbs down on a song means you never have to hear it again. Thumbs up and you get more songs similar to that one. Absolutely brilliant."
"October 28, 2014","I use this for when I'm working on the computer or reading. A lot of different channels, but I tend to have a core set of about 8-9 that I listen to all the time. Also appreciate that Pandora can be set up to play when my Kindle is in sleep mode -- helps save on the battery. It also doesn't seem to interfere with the other applications -- although it will occasionally distort slightly (not all the time) when performing certain actions on a game or pulling up e-mail."
"March 25, 2017","Used everyday at work to listen to music makes work more bearable"
"March 23, 2017","I love listening to only the kinds of music I enjoy and after a couple of days using Pandora , that is what I got . The commercials are brief and few , so the free version is still very good . It was very user friendly and simple to navigate through . I think this is a good app ."
"January 22, 2013","I really do like this app. My niece turned me on to this app. It is a great music media app, it to me is one of the best apps for music. I really do like the different genres for music. The music really sounds good on the Kindle Fire HD, because of the dolby audio sound system. I could listen to it all day long. I would and have recommended it to friends."
"February 14, 2014","I love Pandora! I listen at home, in my car, at work, and everywhere in between. After a few months of teaching Pandora my likes versus dislikes, she truly has learned my tastes. When I change from my personal stations, I know exactly what I am going to get. I even enjoy mixing things up a bit when I dabble with the premade channels Pandora makes available. They are very good but my personal preference are the stations I create by choosing my favorite songs and genres. Great job Pandora."
"November 9, 2016","I'm impressed. It delivers pretty much what I listen too or request. No complaints."
"May 16, 2016","I didn't like this app because when I used it I didn't see video w it unlike utube it was boring just starring at my tablet watching the bands picture.i guess this is for music when ur on the go not for viewing"
"November 11, 2016","I love Pandora. It doesn't repeat songs over and over, it has almost evey artist younwould want. Love this, a total must have. Except for the fact that you habento pay for premium, but whatever."
"November 4, 2016","I love listening to my gospel music on this station"
"October 31, 2016","The idea of the program is great. But there are problems. One that occurs routinely is the loss of signal. The program will need to buffer. When that happens I need to open the application manager to force a program stop. Then when the program is reloaded it works again. Until the next time. A little more variety in audio programming would be good"
"March 1, 2013","I love music. I love all sorts of different music.  I love that I can go anywhere in my home, like the basement, garage, bedroom or take a shower, and still have the type of music play that I am in the mood for.  From the '60s to Spanish Guitar to Eclectic, I have it all.  I love the portability of it on my Kindle."
"February 23, 2015","Now Listen, Spotify is better because you can pick what songs you want to here! on pandora ypu have to wait until you find a song you like,Trust me spotify is better because when you get the game you can get a 7 day trial that lets you listen to your songs where ever you want (Without WiFi) and it gives you better quality and NO ADS (Even know there is not a lot of ads and it only has ads about GOOD songs) and Pandora gives you an ad after every song! And you can get spotify Premium but its like 10/20 dollars every Month witch is not that bad...But dont worry spotify is already good!And on spotify you can change the quality in your settings.Oh yeah i forgot to tell you on spotify right after your trial runs out you might need to reset your profile because it well start to not let you listen to your music (Maybe) and i hate that ad on pandora about Jim Carlyles.com its so annoying,But anyways i don't recommend this App unless you want to hear an ad after every song!"
"November 14, 2013","This is the bomb. I have been using it for 7 years via desktop and laptop, and now my Kindle also."
"December 29, 2016","Won't open on my Kindle Fire. I get a message that it cannot process my request, this after I downloaded it. Pretty annoying."
"May 20, 2017","sucks"
"April 8, 2014","Pandora is an amazing app to have if you want to listen to your favorite music and also hear new stuff just like what you love! They take the songs that you have liked and pick new songs to play based on what makes all of those songs the same. It's genious! Great was to discover new stuff and new artists. And it's an alternative to the radio which plays mostly the same music and an get annoying."
"February 27, 2016","Music just for me. Perfect. I have to chuckle every time I realize that the new station I just set up plays some of the songs from my old stations. Apparently I have very consistent tastes in music."
"January 23, 2013","It plays good music but it isn't very loud when the vol;ume of my kindle is on high. I would play it more if it was louder."
"March 31, 2015","The fact that Pandora continues to add ""stations"" turns an otherwise good idea into a normal/regular radio station which plays a large percentage of music one did not want to hear to begin with. Just because I like the Greatful Dead does not mean I will like Bob Marley for instance, so if I give something a thumbs down it should not form a. New radio station. And that's what makes Pandora suck, though the concept is great."
"February 7, 2015","Didn't care for it. I never was able to assemble a good play list. Too much repetition of songs I didn't like."
"January 25, 2016","Love Pandora radio - good variety of stations to choose from or make up your own. Pick a band you like and Pandora will create a station with your band of choice along with other singers or groups that fall into the same genre. Overall its a quality listening experience that you can take anywhere."
"August 23, 2013","ok"
"June 6, 2016","I can't live without my Pandora now. Takes a little patience to develop the perfect playlist (like a couple/three sessions of thumbs up or down), but it's SO worth it. I've discovered a lot of new music I might never have otherwise been exposed to."
"December 9, 2016","Was never able to download it so how can I review it?"
"May 17, 2016","Works well and introduces you to new music similar to the station you choose. sometimes good, sometimes not quite. Still, a good way to learn and appreciate all the great music there is. Just wish in the Classical stations they would play the entire piece rather than movements or excerpts. Guess listening to something longer than a few minutes is very old school."
"April 22, 2014","I'm still getting used to Pandora, but so far, I think it is Awesome! Wish there was just a membership fee instead of having to purchase individual tracks. I like just setting the station and letting it go. It's nice to be able to listen to any type of music that fits my mood at the time. We also enjoy listening to the comedy skits, especially the old classics. So, in a nutshell, I like it so far!"
"January 28, 2017","Great app, works well only droid maxi."
"October 9, 2016","I like Pandora. I would like you to do something for me. I have cerebral palsy and I like the best of Ronnie dove, and dusty Springfield. I also like leslie gore and early brenda lee. The thing is they are under different categories,. I would them all under leslie gore, so that I can listen to all together. Thank you for your attention."
"February 28, 2015","Pandora is the Best invention to happen to music! Where else can you Create your own radio stations according to your mood and the artists you like! I listen to them every day as much as possible. Amazon radio does not give you the choices. And it gives you information about the artist as it plays. An awesome way to discover new music and artists. Who needs old fashioned radio anymore?! Get it now! You won't be sorry."
"February 15, 2016","I LOVE my pandora, I listen to it 7 days a week, on my drive to and from work daily, and my wife and I both enjoy it on the weekends as we go to our various destinations in the car"
"July 17, 2016","After many conversations with represenatives we finally came to a successful ending on the Kindle Fire HDX seven inch. I'm still learning how to use it , it has awesome graphics and if you buy one Amazon does have cases for them but it's only for the HDX third generation.And you can put an 120 go SD card in it. Lots of movies lots of music.Enjoy"
"March 22, 2017","awesome app need to get it.they have AWESOME apps.if you think of getting it you should todaly and I am 9 years old and I really like this game the most of all games."
"April 30, 2017","you make it to hard to get help when you forget password I thought that was what the security words for help w/out all this code I will just quit ordering from youall"
"September 12, 2016","Not sure how to Close app on my Kindle (no 'x' top right to close). Other issues (delay, long silent pauses) may be due to my device, or cable connectivity (10GB), not the app, but I'm unclear. Also the UI isn't super intuitive i.e. how to look for other pre existing stations. But maybe I will like it more as I acclimate to the process. Thx!"
"February 5, 2017","It will take some time to get used to the format."
"April 25, 2017","amazon tablets are trash"
"December 19, 2015","Pandora and their patented Music Genome Project tech allows them to play new music to you based on your listening history.  The recommendations are almost always perfect, allowing me to hear new music I never would have encountered without Pandora. I have purchased music from bands I would have never listened to, and 99pct of whose music I find awful. But Pandora can find that one song that said band stuck on sone album five years ago, and see based on the songs Musical Genome that I might enjoy it. And I almost always do!  Pandora and its Music Genome Project are light years beyond any other music streaming sites algorithms based on genres, playlists or whatever. The music industry owes Pandora big time for keeping people like me buying music I never would have known was just my taste."
"February 9, 2017","I used to love Pandora.... however, recently the variety is limited and with the free version the ads were unbearable and way too frequent. Uninstalled, I now use the YouTube music app. No ads, and free with as much variation as I want."
"August 20, 2015","Upgraded to Pandora one and was still inundated with advertisements until I complained to customer service ... took some time but they fixed it .. still, felt like it was intentional for the benefit of advertisers."
"January 15, 2013","After using Songza with ease, I find Pandora to be more complicated & annoying with the audio ads. It's OK."
"May 18, 2017","2 much advertising! i want the old pandora with no distribution of nonsense.. download @ own risk lol sky is better or lil shark"
"June 3, 2017","Music for the Mind"
"May 14, 2016","I have been listening to Pandora for many years - I first saw it advertised when I was on the AARP internet page on the computer which belonged to my job - which I have retired from - it was advertised as Pandora Jukebox. I have it downloaded on my computer at home and my iPhone. I like that I get to choose the music I like to listen to - and I get to rate it. If I don't enjoy one of the songs that they are playing - I can stop it and go to the next one. I recommend Pandora to anyone who loves music as much as I do.."
"December 19, 2016","I wasn't able to log in so I did not use the app on my Kindle. Pandora said they couldn't log me in so maybe it was my mistake but after two tries, I gave up."
"February 5, 2013","One time I was listening to it (once it logged me properly) and I exited out. For some strange reason Selena Gomez was still singing. I logged into Twitter, still singing. It went to the next song (Jessie J, I believe). I shut it off and Jessie J continued to sing. I had to hold the power button down for 20 seconds, let go, and hold it down for 3 more seconds (that is how I re-boot my Kindle). I deleted the app the second my Kindle powered back up. I told all my friends and family about it, and now I'm telling you. Please fix this."
"October 23, 2016","I downloaded it on the 10/21/16. It was suppose 2 start my 7 day free trial period nd it won't work at all! It won't even allow my original free Pandora 2 play either."
"January 17, 2013","i think it is a cool pro g ram . i prefer to mix up genres a bit and have to listen one genre at a time"
"July 28, 2015","Its the evolution of broadcast radio, but better. I knew Pandora was available online, but I was delighted to find an app for it that works with my KindleFire. The sound is incredible. This app easily plays in the background while reading an e-book or surfing the web. I program only the types of music that I want to hear and it provides the lyrics to most songs, allowing you to become familiar with the artists, the titles and the albums of the songs you are hearing for future purchase, if you so choose."
"May 5, 2014","This is a really great app. I find the type of music that I want to listen to and go search, play games, or do whatever. Also it has free music . If you have a kindle fire (which i have) then you will love Pandora most of the songs on Pandora (that are good) are free and if you go on the buy music on Amazon it cost money but here on Pandora it's just FREE MUSIC. Tell me if this review helped. Well that's it hope you have a great time on Pandora. BYE"
"April 28, 2016","A frustrating app at times. It will occasionally pop up an overly that demands you either give the song its showing a thumb up or a thumb down. The only way to regain control of the app with out giving a thumb up or a thumb down is to exit the app and restart it. Very annoying. Paying for premium does not give unlimited skips like Spotify does."
"June 19, 2017","Not using"
"July 15, 2016","Pandora is alright at most, they always say they get the perfect song at the perfect moment and that is just dead wrong. You'll randomly listen to a radio station lets say country radio. At some point in your session you'll end up hearing rap or some completely different artist than the one you specifically went to a radio for"
"March 12, 2017","Great product!"
"February 22, 2013","I had siriusxm, which was fine,but it offered one at a time,Elvis,Frank Sinatra,Dean martin,or Country. with Pandora I get all four with out changing stations."
"March 14, 2017","Great product"
"February 23, 2013","OMG! I got rid of my smart phone due to the cost. My boyfriend and I were talking about music. He said how much he loves Pandora. I used to have it with my phone. I bought a Kindle Fire a few months ago. He informed me that I could get the app on my Kindle. I was THRILLED! Oh Pandora how I have missed thee!"
"March 24, 2017","I love Pandora and have been following it since the beginning. I told my dad that it would be everywhere one day and, I'll be darned if it isn't standard in a lot of cars and TVs now. It still beats all the new services, like Spotify, since I think the system of music ""DNA"" they use is better at creating channels that introduce you to new music."
"July 30, 2013","If you like one of them you liked them all. I don't understand why it's a limit on your response."
"November 17, 2014","This app is really cool for like parties and get togethers but most of the time when you done like a song as soon as you go to skip the song a ad pops up and you end up clicking the add and it lags your device. One thing I really like about Pandora is that when you give a song a thumbs down it says that they will never play that song again. I don't know if that's true. I really like this app you should get it"
"January 15, 2017","Some things about this irk me. You are supposed to be able to hear a song repeat after watching an ad, but it doesn't repeat. The ads are the same over and over. When I put a groups name in for my station, I want the majority of music from that group, not everyone but the group."
"June 15, 2016","Exposed to a huge variety of music. I didn't realize the many different types of music and artist I liked. Con: classical music will be truncated - you will not hear an entire symphony"
"May 23, 2017","Can only get one song to play before Pandora freezes."
